Day,Activity,Start,End
Monday,Get ready,05:40,06:40
Monday,Travel to school,06:40,07:00
Monday,School,07:00,15:00
Monday,Travel back home,15:00,15:20
Monday,Eating/Lunch,15:20,16:00
Monday,Homework/Study,16:00,17:30
Monday,Exercise,17:30,18:00
Monday,Hobbies,18:00,19:00
Monday,Programming projects,19:00,21:30
Tuesday,Exercise,08:00,10:00
Tuesday,Breakfast,10:00,10:40
Tuesday,Homework/Study,10:40,12:00
Tuesday,Programming projects,12:00,13:30
Tuesday,Hobbies,13:30,15:50
Tuesday,Eating/Lunch,15:50,16:30
Tuesday,Get ready,16:30,17:30
Tuesday,Travel to school,17:30,18:00
Tuesday,School,18:00,20:00
Tuesday,Travel back home,20:00,20:20
Tuesday,Homework/Study,20:20,21:30
Wednesday,Exercise,06:30,07:30
Wednesday,Get ready,07:30,08:30
Wednesday,Travel to school (Morning Session),08:30,09:00
Wednesday,School (Morning Session),09:00,13:00
Wednesday,Travel back home,13:00,13:20
Wednesday,Eating/Lunch,13:20,14:00
Wednesday,Travel to school (Evening Session),17:40,18:00
Wednesday,School (Evening Session),18:00,20:00
Wednesday,Programming projects,20:00,21:00
Wednesday,Hobbies,21:00,22:00
Thursday,Exercise,08:00,09:00
Thursday,Breakfast,09:00,09:40
Thursday,Get ready,09:40,10:40
Thursday,Travel to school (Morning Session),10:40,11:00
Thursday,School (Morning Session),11:00,13:00
Thursday,Travel back home,13:00,13:20
Thursday,Eating/Lunch,13:20,14:00
Thursday,Homework/Study,14:00,15:40
Thursday,Programming projects,15:40,16:40
Thursday,Hobbies,16:40,17:40
Thursday,Travel to school (Evening Session),17:40,18:00
Thursday,School (Evening Session),18:00,20:00
Thursday,Travel back home,20:00,20:20
Thursday,Homework/Study,20:20,22:30
Friday,Wake up & Get ready,05:40,06:40
Friday,Travel to school,06:40,07:00
Friday,School,07:00,13:00
Friday,Travel back home,13:00,13:20
Friday,Eating/Lunch,13:20,14:00
Friday,Homework/Study,14:00,15:00
Friday,Hobbies,15:00,16:00
Friday,Programming projects,16:00,17:00
Friday,Exercise,17:00,17:30
Friday,Homework/Study,18:00,19:00
